"","SerialNo","Point","StRegion","Region","PopBand","PerOO","PerSEG","PropWSpk","GOR","LACode","LAName","ConCode","WConId","WConN","triwales","WtFactor","OldWt","Country","XYVer","OddEven","XYComp","IntDate","SIntDate","StTIM","Househld","RSex","RAge","P2Sex","P2Age","P2Rel3","P2Rel2","P2Rel","P3Sex","P3Age","P3Rel3","P3Rel2","P3Rel","P4Sex","P4Age","P4Rel3","P4Rel2","P4Rel","P5Sex","P5Age","P5Rel3","P5Rel2","P5Rel","P6Sex","P6Age","P6Rel3","P6Rel2","P6Rel","P7Sex","P7Age","P7Rel3","P7Rel2","P7Rel","RAgeCat","RAgeCat2","RSexAge","RSexAge2","MarStat5","MarStat","Married","SmSexPar","NumCh","NCh415","NCh318","HhCh04","HhCh511","HhCh1215","HhCh1617","RCh04","RCh511","RCh1215","RCh1617","HhType","REconAc2","RLastJb2","SEconAc2","SLastJb2","RJbType","SJbType","Readpap","WhPaper","Internt","SupParty","ClosePty","PartyIDN","Partyid1","PartyId2","PtyAlleg","Idstrng","Politics","NeedHelp","CareSat","EdSat","NHSSat","SchPrv","SchVol","HospPrv","HospVol","CarePrv","CareVol","DocTrust","Teachtrs","SocWTrus","ChoHosp","ChoHosp2","ChoTreat","ChoTrea2","ChoCare","ChoCare2","ChTght","ChTght2","ChSch","ChSch2","SpecSch","RegSch","SchAffd","HospAffd","Vouch","InfoSch","InfoDoc","Inspect","GPVis","MealHos","MusicLe","TripMus","HEFee","HEFeeWhn","PAlive","Contpars","FamCare2","CareCos2","NHSView","NHSGlob","NHSCash","EdGlob","EdCash","LAGlob","LACash","Voted2","WhenDecd","VoteC2","YVtClsC","VoteL2","YVtClsL","ScWBrit","Vote1st2","Vote2nd2","MostImp1","MostImp2","MostImp3","MostImp4","MostImp5","VotUKGE2","DfWnScW","DfWnGE","CoalitW2","CoalPC2","EvBlair","EvMorgan","EvWJones","EvGerman","EvBourne","Iraq1","YPBan","Preschg","WindF","WaleParl","WaleParS","WalShInd","DecWFB","DecNHS","DecSch","DecDef","WRowWM","DoesInfl","OughInfl","SNHSIEW2","SNHSWhW2","EdStIEW2","EdStWhW2","SLivIEW2","SLivWhW2","UKIntNat","NatINat2","RegBias2","WhBias2","SRSocCl1","SRSocCl2","SRSocCl","NatClass","NatID","SCInstr","SCDone","SCRetn","SCNote","DisNew3","PrivMed","PrivPaid","SocTrust","Tenure1","Tenure2","RWelshSp","Religion","ReligSum","FamRelig","FrlSum","ChAttend","NatBrit","NatEng","NatEuro","NatIrish","NatNI","NatScot","NatUlst","NatWelsh","NatAsia","NatAfric","NatOth","NatNone","BestNatU","RaceOri2","RPrivEd","OthChld3","ChPrivEd","PrivEd2","StatSC","SchQual","PschQual","EdQual1","EdQual2","EdQual3","EdQual4","EdQual12","EdQual13","EdQual36","EdQual26","EdQual27","EdQual28","EdQual29","EdQual30","EdQual31","EdQual32","EdQual22","EdQual23","EdQual24","EdQual25","EdQual33","EdQual34","EdQual10","EdQual11","EdQual17","EdQual18","EdQual19","EdQual20","EdQual21","EdQual37","EdQual38","EdQual39","HEdQual","HEdQual2","Vote05","VotSW03C","RLastJob","REmplyee","RSuperv","RMany","RSuper","RSupman2","ROcSect2","REmpWork","WkJbHrsI","REmpSta2","SIC92Gp","MinGrp","SMajGrp","MajGrp","SEG2","SEG","SEGGrp","SOCCLas","RGCLass","GHCLass","GHGrp","R2SOC200","IndexNo","R2ES2000","NSSEC","SECFlag","SEG3","SC","SOC90","SOCStatu","ASOC90","SIC2003","P2LastJb","P2Emplye","P2Superv","P2Many","Super2","Supman3","P2OcSec2","P2EmpWrk","P2JbHrsI","P2EmpSt2","SIC92Gp2","MinGrp2","SMajGrp2","MajGrp2","SEG4","SEG5","SEGGrp2","SOCCLas2","RGCLass2","GHCLass2","GHGrp2","P2SOC200","IndexNo2","ES2001","NSSEC2","SECFlag2","SEG6","SC2","SOC91","SOCStat2","ASOC91","SIC2004","UnionSA","AnyBN3","BenefOAP","BenefWar","BenefWid","BenefUB","BenefIS2","BenefPC","BenefCB","BenefCTC","BenefFC","BenefHB","BenefCT","BenefInc","BenefDLA","BenefAtA","BenefSev","BenefICA","BenefInd","BenefOth","MainInc4","HHincome","PhoneX","PhoneBc2","PhoneX2","ComeBac3","THANK","EndTIM","Duration","Serial_N","Issue_N2","INT_NUM2","AIntDate","ADuratio","QStart","QPart","AVersion","ACountry","ASex","AAge","HSTATUS","VCHOICE","ASCDone","SCDone2","SCRetn2","Outcome","IntLang","card","intro","batch","language","ScFailCl","HoFailCl","ParHlpLn","TeJobWel","HlthResp","PSLisCom","PBLisCom","PriNHSn1","PriScn1","ScDecChi","HoDecWho","SecSchEd","NHSpatie","nhsoutp2","nhsinp2","UKGvJob","WAGovJob","PropRep","ProPRNat","ProPRLoc","LikeCon","LikeLab","LikeLD","LikePC","swquiz1b","swquiz3b","quizscbu","swquz42","quz100am","ReDistrb","BigBusnn","Wealth","RichLaw","Indust4","TradVals","StifSent","DeathApp","Obey","WrongLaw","Censor","RsexChck","RageChck","SQDate2","leftrigh","libauth","filter_$"
"1",10102,101,11,4,1,NA,NA,0.58,11,"00NA","Isle of Anglesey","","W040","Ynys Mon Co Const",2,0.760210085510932,0.557728706624606,3,1,2,1,2007-07-19,2007-07-19,13:56:31,1,1,25,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,2,2,2,2,7,5,4,3,0,0,0,0,0,0,0,0,0,0,0,-9,3,-1,-1,-1,1,4,2,-1,1,2,1,2,2,2,5,3,3,2,2,4,2,5,5,5,5,5,5,1,3,3,1,4,4,1,1,2,1,4,1,4,1,1,2,1,3,1,4,2,5,5,2,1,2,1,2,2,5,3,1,2,1,5,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,1,1,10,8,2,98,98,5,1,1,1,4,4,2,2,3,3,2,1,2,2,2,1,4,1,4,3,2,4,2,2,4,2,2,1,4,1,1,1,-9,2,2,-1,2,2,1,1,0,-9,0,-9,-9,1,2,2,2,2,2,2,2,2,2,2,2,1,9,2,2,-1,3,-1,1,1,1,2,3,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,3,2,2,-9,1,1,1,1,2,3,1,39,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3312,17842,6,6,0,5.2,3.1,610,0,-9,75,-9,-9,-9,-9,"",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,15,1,1,1,1,1,14:35:49,39,10102,1,"2624",2007-07-19,39,1,1,2,3,1,25,3,5,1,1,1,111,1,1,2624,2044,1,2,3,2,4,2,2,1,1,1,1,2,2,1,1,4,1,2,2,3,2,1,10,2,0,2,1,2,2,2,3,2,3,4,1,1,1,1,1,4,3,1,25,19072007,2.6,4.16666666666667,1
"2",10103,101,11,4,1,NA,NA,0.58,11,"00NA","Isle of Anglesey","","W040","Ynys Mon Co Const",2,0.436478241132983,0.557728706624606,3,2,1,1,2007-06-22,2007-06-22,09:24:11,1,2,87,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,7,6,15,13,6,4,3,3,0,0,0,0,0,0,0,0,0,0,0,-9,9,5,-1,-1,3,4,1,12,2,1,-1,1,1,1,1,1,1,4,8,8,5,8,8,3,3,5,5,4,8,3,1,4,8,8,3,3,8,8,8,8,8,1,1,2,8,1,1,1,5,5,8,8,3,-1,3,-1,-1,1,5,3,3,8,8,5,3,4,1,1,1,1,1,1,1,3,16,-2,-2,-2,-2,1,3,1,1,2,0,2,5,98,98,1,1,4,1,2,2,3,2,2,2,2,1,8,2,4,1,8,9,2,1,4,4,2,2,1,-1,1,4,1,1,1,1,-9,2,2,-1,1,1,1,1,3,-9,3,-9,7,2,2,2,2,2,2,2,1,2,2,2,2,8,9,2,2,-1,3,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,1,1,5,2,2,-9,0,-9,-9,1,40,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,9111,-9,2,8.2,0,15,4,-9,-9,-9,1,-9,-9,-9,-9,"",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,1,1,1,10:00:42,36,10103,1,"2624",2007-06-22,36,1,1,2,3,2,87,3,5,1,1,1,111,1,1,2624,4022,1,9,9,9,9,9,9,1,1,8,8,1,8,1,4,4,5,5,3,3,3,8,0,3,2,4,4,8,8,8,3,3,3,3,3,1,1,1,1,4,1,2,87,22062007,3,4.5,1
"3",10106,101,11,4,1,NA,NA,0.58,11,"00NA","Isle of Anglesey","","W040","Ynys Mon Co Const",2,0.577276578370575,0.557728706624606,3,2,2,1,2007-07-03,2007-07-03,12:41:29,3,2,34,1,8,2,2,2,2,3,2,2,2,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,2,2,10,9,1,1,1,3,1,1,2,1,1,0,0,1,1,0,0,-9,10,1,3,-3,3,1,1,96,1,2,2,12,10,5,11,-1,5,4,3,2,4,3,3,3,3,3,3,2,2,2,1,3,2,3,2,3,2,3,1,3,1,1,2,2,3,1,1,2,5,5,5,5,2,3,1,6,4,3,3,2,1,2,1,3,1,4,1,2,1,2,1,1,2,3,97,-2,-2,-2,-2,2,4,4,1,1,5,98,98,98,98,1,1,1,3,2,2,8,1,1,3,2,3,2,3,8,9,8,9,8,9,3,3,2,2,2,-1,2,3,8,1,1,1,-9,2,2,-1,2,2,1,3,1,-9,1,-9,2,2,2,2,2,2,2,2,2,2,2,2,1,10,1,2,-1,2,3,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,8,8,-9,"",8,8,8,98,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,8,-9,-9,-9,-9,-9,-9,-9,89,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,98,1,1,1,1,1,13:13:23,32,10106,1,"2624",2007-07-03,32,1,1,2,3,2,34,3,5,1,1,1,111,1,1,2624,2119,1,3,3,3,3,3,3,3,1,1,1,1,1,1,4,4,2,3,3,3,3,2,7,5,2,8,8,8,8,8,3,3,3,3,3,1,2,3,1,2,1,2,34,3072007,3,4.33333333333333,0
"4",10110,101,11,4,1,NA,NA,0.58,11,"00NA","Isle of Anglesey","","W040","Ynys Mon Co Const",2,0.872956482265966,1.11545741324921,3,1,2,1,2007-06-22,2007-06-22,11:02:14,2,2,65,1,76,1,1,1,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,7,6,15,13,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-9,9,6,9,5,4,3,1,4,2,2,1,1,1,1,2,3,5,4,3,2,2,5,5,5,5,5,5,1,2,2,3,4,1,2,4,4,3,3,3,3,1,1,1,2,3,1,4,1,5,5,1,1,2,1,3,-1,-1,1,1,2,2,2,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,2,2,2,3,3,3,98,98,1,1,1,5,3,3,2,2,2,2,2,1,2,2,5,3,3,3,1,3,3,4,2,2,2,-1,2,2,3,1,1,1,-9,1,2,-1,2,1,1,1,3,-9,5,-9,1,2,2,2,2,2,2,2,1,2,2,2,2,8,9,2,1,1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,5,5,6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,97,1,1,1,1,1,11:35:25,33,10110,1,"2624",2007-06-22,33,1,1,2,3,2,65,3,5,1,1,1,111,1,1,2624,4023,1,8,8,8,8,8,4,2,1,8,8,2,8,2,2,2,2,3,3,3,3,6,3,3,3,2,2,4,4,4,2,2,3,4,5,1,1,4,1,1,1,2,66,22062007,3.2,4.5,1
"5",10111,101,11,4,1,NA,NA,0.58,11,"00NA","Isle of Anglesey","","W040","Ynys Mon Co Const",2,0.640788394149564,0.557728706624606,3,1,1,1,2007-08-20,2007-08-20,18:49:07,2,1,48,2,15,2,2,2,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,4,4,4,4,5,3,2,3,1,1,1,0,0,1,0,0,0,1,0,-9,3,-1,-1,-1,1,4,1,12,1,2,1,5,7,4,10,3,4,2,2,4,1,5,5,5,5,2,2,2,3,4,3,2,2,8,2,8,1,4,1,4,1,1,1,1,1,2,1,4,2,1,3,2,3,-1,2,3,4,3,2,1,1,4,1,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,5,1,2,0,8,3,2,6,1,1,4,5,1,1,1,1,1,3,2,1,4,1,2,1,3,1,2,2,4,2,2,2,4,9,3,-1,1,1,1,1,-9,2,2,-1,2,10,4,2,0,-9,7,-9,7,2,2,2,2,2,2,2,1,2,2,2,2,8,9,1,-1,2,1,1,1,1,1,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,19,0,0,0,38,0,1,2,0,0,-9,2,2,-9,0,-9,-9,0,40,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6115,3419,3,9.1,0,12,4,644,0,-9,85,-9,-9,-9,-9,"",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,7,1,1,1,1,1,19:23:53,34,10111,2,"0594",2007-08-20,34,1,1,2,3,1,48,3,5,1,1,1,111,1,1,594,5062,1,1,1,1,5,1,4,4,1,1,2,2,2,2,3,2,2,4,1,1,1,0,7,5,10,3,1,2,3,2,5,5,5,2,2,1,1,1,4,5,5,1,48,20082007,3.8,3.16666666666667,1
"6",10112,101,11,4,1,NA,NA,0.58,11,"00NA","Isle of Anglesey","","W040","Ynys Mon Co Const",2,0.364905544365837,0.557728706624606,3,1,2,1,2007-07-21,2007-07-21,14:14:34,1,2,90,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,7,6,15,13,5,3,2,3,0,0,0,0,0,0,0,0,0,0,0,-9,9,4,-1,-1,3,4,1,2,2,1,-1,2,2,2,4,1,3,4,2,2,4,5,5,5,5,5,5,3,3,3,1,3,1,4,1,3,2,3,1,3,1,1,2,2,8,3,3,3,5,5,5,5,3,-1,3,-1,-1,3,2,2,1,2,1,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,3,1,1,10,7,98,98,98,1,3,3,4,8,8,8,2,2,2,2,1,1,2,4,1,4,2,4,2,3,3,1,-1,2,-1,2,1,5,1,1,1,-9,1,2,-1,1,3,2,3,3,-9,3,-9,7,2,1,2,2,2,2,2,2,2,2,2,2,2,9,2,2,-1,3,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,2,2,4,1,2,-9,0,3,1,2,40,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,9233,4050,7,13.4,0,11,5,958,0,-9,95,-9,-9,-9,-9,"",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,1,1,1,14:38:35,24,10112,1,"2624",2007-07-21,24,1,1,2,3,2,90,3,5,1,1,1,111,1,1,2624,2058,1,4,4,1,5,2,5,5,1,1,1,1,1,1,1,4,2,2,3,3,3,2,10,6,1,4,2,8,8,8,1,1,1,1,1,1,1,4,1,3,1,2,90,21072007,1,4.16666666666667,1
"7",10115,101,11,4,1,NA,NA,0.58,11,"00NA","Isle of Anglesey","","W040","Ynys Mon Co Const",2,0.364905544365837,0.557728706624606,3,1,1,1,2007-07-03,2007-07-03,14:25:30,1,2,76,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,7,6,15,13,6,4,3,3,0,0,0,0,0,0,0,0,0,0,0,-9,9,5,-1,-1,3,4,2,-1,2,1,-1,2,2,2,4,2,2,1,2,2,2,5,1,5,5,5,5,2,1,1,1,3,1,3,3,3,2,2,2,3,1,1,2,2,1,1,1,1,1,5,1,5,2,1,3,-1,-1,3,1,2,1,1,1,4,1,4,4,2,2,5,3,1,2,5,20,-2,-2,-2,-2,3,1,1,2,1,2,8,9,98,0,1,4,1,1,4,4,2,2,2,1,2,1,2,2,4,3,2,1,1,1,2,2,1,-1,1,-1,1,1,3,1,1,1,-9,1,1,2,1,1,1,2,3,-9,6,-9,7,1,1,2,2,2,2,2,2,2,2,2,2,1,9,1,1,1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,2,5,5,1,1,3,3,2,1,3,45,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4215,-9,6,6,0,5.2,3.1,-9,-9,-9,65,-9,-9,-9,-9,"",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,1,1,1,1,16:09:32,104,10115,1,"2624",2007-07-03,104,1,1,2,3,2,76,3,5,1,1,1,111,1,1,2624,2120,1,4,3,1,2,2,2,2,1,4,2,2,1,2,2,4,2,2,1,1,1,0,7,9,7,1,1,2,2,4,4,2,3,3,4,2,9,5,2,4,2,2,76,3072007,3.2,3,1
"8",10119,101,11,4,1,NA,NA,0.58,11,"00NA","Isle of Anglesey","","W040","Ynys Mon Co Const",2,0.364905544365837,0.557728706624606,3,2,1,1,2007-07-21,2007-07-21,14:54:55,1,2,73,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,7,6,15,13,6,4,3,3,0,0,0,0,0,0,0,0,0,0,0,-9,9,5,-1,-1,3,4,1,97,2,2,1,5,7,4,10,3,5,4,2,1,2,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,1,1,3,3,3,5,5,2,2,1,2,2,3,-1,-1,1,1,3,1,2,1,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,1,6,8,8,98,98,1,4,5,1,3,3,2,1,1,1,2,1,1,1,2,2,2,2,2,2,1,1,2,1,2,-1,2,1,2,1,1,1,-9,2,2,-1,1,1,1,1,7,-9,7,-9,1,2,2,2,2,2,2,2,1,2,2,2,2,8,9,2,1,2,3,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,2,2,5,1,2,-9,0,3,3,1,40,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,9211,25745,7,12.2,0,10,4,940,0,-9,64,-9,-9,-9,-9,"",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,98,1,1,1,1,1,15:18:16,24,10119,1,"2624",2007-07-21,24,1,1,2,3,2,73,3,5,1,1,1,111,1,1,2624,2057,1,3,3,1,5,1,2,2,1,1,2,1,1,1,1,4,2,2,3,3,3,5,7,4,9,8,8,8,8,8,3,3,3,3,3,2,2,2,2,3,2,1,99,21072007,3,3.83333333333333,1
"9",10201,102,11,4,1,NA,NA,0.71,11,"00NA","Isle of Anglesey","","W040","Ynys Mon Co Const",2,2.26716987708466,2.23091482649842,3,1,1,1,2007-09-03,2007-09-03,16:51:51,7,2,18,1,41,4,4,3,2,21,6,6,4,2,40,2,2,2,2,17,6,6,4,2,14,6,6,4,1,12,6,6,4,1,1,9,8,7,5,4,3,1,0,0,0,0,2,1,0,0,0,0,-9,1,1,-1,-1,3,4,1,2,1,1,-1,5,7,4,10,1,2,1,2,2,2,4,4,4,4,4,4,8,2,3,1,3,1,3,2,3,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,3,3,1,2,1,1,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,2,2,1,5,5,10,98,98,1,1,4,4,1,5,2,2,2,2,2,1,1,1,3,2,1,2,1,2,4,3,3,-1,2,-1,2,3,1,1,1,1,-9,2,2,-1,1,97,9,1,5,-9,5,-9,7,2,2,2,2,2,2,2,1,2,2,2,2,8,9,2,-1,2,3,2,1,2,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,6,5,5,1,1,2,-9,0,3,1,5,12,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,7111,1433,7,12.1,0,6,3.1,720,0,-9,52,-9,-9,-9,-9,"",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,98,1,2,1,2,1,17:14:07,23,10201,1,"2009",2007-09-03,23,1,1,2,3,2,18,3,5,1,1,1,111,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,1
"10",10204,102,11,4,1,NA,NA,0.71,11,"00NA","Isle of Anglesey","","W040","Ynys Mon Co Const",2,0.632629632748116,1.11545741324921,3,1,2,1,2007-08-03,2007-08-03,09:54:03,2,2,62,1,67,1,1,1,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,6,5,14,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-9,9,5,9,2,3,3,1,12,2,1,-1,5,7,4,10,3,2,2,4,1,4,4,3,2,3,3,3,2,2,3,1,2,1,3,2,3,3,3,2,3,2,4,1,2,3,2,3,2,5,4,4,2,3,-1,3,-1,-1,1,2,2,1,1,1,4,2,4,1,5,1,5,1,1,5,2,20,-2,-2,-2,-2,5,4,2,1,2,6,4,3,1,1,5,1,5,2,2,2,1,1,1,1,2,2,2,1,4,2,2,2,1,3,3,2,2,2,4,2,2,2,2,1,1,1,-9,1,2,-1,8,1,1,1,8,-9,8,-9,1,1,2,2,2,2,2,2,1,2,2,2,2,8,9,2,1,2,3,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,5,5,5,1,2,-9,0,3,3,1,10,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,9243,14826,7,13.1,0,10,4,619,0,-9,75,-9,-9,-9,-9,"",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,97,1,1,1,2,1,10:40:35,46,10204,2,"2042",2007-08-03,46,1,1,2,3,2,62,3,5,1,1,1,111,1,1,2042,4082,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,4,4,2,2,2,1,5,2,6,1,8,2,2,8,4,4,3,2,3,2,1,4,2,2,2,2,62,3082007,3.2,3.83333333333333,1
